ID,Gender,Use_Facebook,Use_Twitter
379,Male,No,Yes
428,Female,Yes,Yes
467,Male,Yes,Yes
427,Male,No,No
465,Female,Yes,No
380,Female,Yes,No
669,Female,No,No
676,Female,Yes,Yes
657,Female,Yes,No
664,Female,No,No
654,Female,Yes,No
680,Female,Yes,No
668,Male,Yes,No
647,Male,Yes,No
662,Female,Yes,No
650,Female,Yes,No
651,Female,Yes,No
682,Female,Yes,No
681,Male,No,No
684,Female,Yes,No
683,Female,Yes,Yes
685,Female,Yes,No
690,Female,Yes,No
689,Female,Yes,No
692,Male,Yes,No
691,Female,Yes,Yes
694,Female,Yes,No
693,Male,Yes,Yes
698,Male,No,No
699,Female,No,No
702,Female,Yes,No
704,Male,Yes,No
703,Female,Yes,No
706,Female,Yes,No
710,Male,No,No
709,Male,No,No
711,Male,Yes,No
712,Female,Yes,No
714,Male,Yes,No
713,Male,Yes,Yes
717,Female,Yes,No
722,Male,No,No
724,Female,No,No
726,Female,No,No
731,Female,Yes,No
233,Female,No,No
58,Female,No,No
1223,Male,No,No
1224,Male,Yes,No
1028,Male,No,No
59,Female,No,No
1620,Female,Yes,Yes
1225,Female,No,No
1227,Female,No,No
1228,Male,No,No
1222,Female,Yes,No
556,Female,Yes,No
144,Female,Yes,No
471,Male,Yes,No
457,Male,No,No
72,Male,No,No
55,Female,No,No
68,Female,No,No
97,Female,Yes,No
223,Female,Yes,No
96,Male,Yes,No
69,Female,No,No
458,Female,No,No
1127,Male,Yes,No
1130,Female,No,No
2158,Male,No,No
2159,Male,Yes,Yes
2160,Male,No,No
2161,Female,Yes,No
1062,Female,Yes,No
2167,Female,No,No
732,Female,No,No
733,Female,No,No
736,Male,Yes,No
737,Female,Yes,Yes
742,Female,No,No
745,Female,Yes,No
746,Male,No,No
747,Male,No,No
748,Male,No,No
749,Female,No,No
751,Female,Yes,No
189,Male,No,No
358,Female,No,Yes
183,Female,No,No
198,Female,No,No
200,Female,Yes,No
360,Female,Yes,No
365,Male,No,No
1272,Male,No,No
1278,Male,Yes,Yes
1277,Female,Yes,No
366,Male,Yes,Yes
2536,Female,Yes,No
1363,Female,Yes,No
3677,Male,No,Yes
3658,Male,Yes,No
1360,Female,Yes,No
1369,Male,No,No
3514,Female,Yes,No
234,Male,No,No
233,Male,No,No
186,Female,No,No
445,Male,Yes,No
497,Male,Yes,No
475,Male,No,No
446,Female,No,No
477,Female,No,No
478,Female,No,No
247,Male,Yes,No
246,Male,No,No
479,Male,Yes,No
417,Male,Yes,No
